date,temperature_c,consumption_kwh
2007-04-16,6.1,952.39
2007-04-17,8.1,1223.734
2007-04-18,8.1,998.246
2007-04-19,11.65,1028.658
2007-04-20,14.2,822.58
2007-04-21,16.650000000000002,1673.656
2007-04-22,19.200000000000003,2233.714
2007-04-23,22.2,1054.566
2007-04-24,19.4,1032.1
2007-04-25,13.85,1264.162
2007-04-26,11.950000000000001,1275.466
2007-04-27,10.8,1094.332
2007-04-28,16.95,22.738
2007-04-30,18.9,420.822
2007-05-01,16.15,1663.858
2007-05-02,15.0,1003.486
2007-05-03,16.4,1090.238
2007-05-04,15.85,998.128
2007-05-05,16.7,1563.052
2007-05-06,12.5,2102.104
2007-05-07,13.049999999999999,1643.664
2007-05-08,15.25,1789.292
2007-05-09,21.1,1665.736
2007-05-10,20.55,707.884
2007-05-11,20.3,979.154
2007-05-12,17.5,1441.566
2007-05-13,14.7,1634.738
2007-05-14,15.25,1467.782
2007-05-15,21.1,904.392
2007-05-16,22.2,1692.944
2007-05-17,16.4,1231.816
2007-05-18,10.55,1631.53
2007-05-19,11.95,1429.442
2007-05-20,17.25,1968.328
2007-05-21,16.7,1120.062
2007-05-22,18.049999999999997,1132.852
2007-05-23,18.05,1464.936
2007-05-24,21.65,1154.388
2007-05-25,25.0,1614.22
2007-05-26,25.549999999999997,1512.248
2007-05-27,24.45,2153.808
2007-05-28,23.85,1637.468
2007-05-29,21.4,1061.34
2007-05-30,22.5,1609.866
2007-05-31,25.299999999999997,938.55
2007-06-01,24.450000000000003,1044.918
2007-06-02,26.7,1484.362
2007-06-03,21.65,2108.026
2007-06-04,18.35,911.618
2007-06-05,23.049999999999997,1458.892
2007-06-06,17.5,1693.638
2007-06-07,18.049999999999997,985.002
2007-06-08,23.6,2148.046
2007-06-09,23.05,1059.814
2007-06-10,19.45,1340.812
2007-06-11,23.049999999999997,794.654
2007-06-12,23.3,918.766
2007-06-13,16.4,927.272
2007-06-14,15.55,1259.084
2007-06-15,19.15,989.604
2007-06-16,21.4,2017.762
2007-06-17,24.45,1947.09
2007-06-18,24.45,678.474
2007-06-19,22.799999999999997,842.36
2007-06-20,22.5,1074.286
2007-06-21,21.15,806.946
2007-06-22,19.700000000000003,566.294
2007-06-23,18.3,477.566
2007-06-24,20.55,714.656
2007-06-25,23.049999999999997,1072.202
2007-06-26,27.5,944.908
2007-06-27,26.650000000000002,1480.826
2007-06-28,25.85,1295.438
2007-06-29,22.2,1304.198
2007-06-30,22.2,1335.314
2007-07-01,19.700000000000003,1026.664
2007-07-02,18.6,967.032
2007-07-03,21.15,1059.912
2007-07-04,20.0,1003.41
2007-07-05,22.5,1057.29
2007-07-06,23.85,1069.524
2007-07-07,24.4,1358.206
2007-07-08,26.7,1089.08
2007-07-09,28.849999999999998,1180.158
2007-07-10,28.299999999999997,908.324
2007-07-11,25.25,722.352
2007-07-12,22.799999999999997,1069.582
2007-07-13,23.9,794.382
2007-07-14,23.9,1288.17
2007-07-15,26.65,917.024
2007-07-16,24.75,853.674
2007-07-17,25.85,719.632
2007-07-18,23.1,757.082
2007-07-19,24.700000000000003,677.886
2007-07-20,22.5,1110.422
2007-07-21,22.5,1060.248
2007-07-22,24.15,1375.774
2007-07-23,18.9,991.018
2007-07-24,20.8,825.284
2007-07-25,23.85,472.56
2007-07-26,25.549999999999997,924.5
2007-07-27,25.299999999999997,1202.514
2007-07-28,25.299999999999997,1621.862
2007-07-29,24.45,321.116
2007-07-30,25.55,466.816
2007-07-31,26.4,812.332
2007-08-01,26.950000000000003,1060.338
2007-08-02,28.599999999999998,1019.416
2007-08-03,25.55,1063.364
2007-08-04,26.15,1144.99
2007-08-05,25.25,787.098
2007-08-06,25.25,1089.72
2007-08-07,27.799999999999997,1483.58
2007-08-08,27.5,1125.482
2007-08-09,25.25,1071.68
2007-08-10,18.05,1028.01
2007-08-11,20.55,1091.65
2007-08-12,24.7,1241.904
2007-08-13,25.0,1153.012
2007-08-14,22.75,941.19
2007-08-15,24.15,1191.86
2007-08-16,25.8,958.496
2007-08-17,23.049999999999997,1009.892
2007-08-18,19.15,347.96
2007-08-19,18.65,1422.294
2007-08-20,17.5,1338.842
2007-08-21,14.15,642.556
2007-08-22,15.8,1209.808
2007-08-23,20.299999999999997,1112.312
2007-08-24,23.6,1656.214
2007-08-25,26.700000000000003,1150.88
2007-08-26,24.45,1314.906
2007-08-27,23.85,1211.73
2007-08-28,24.15,997.004
2007-08-29,24.4,747.992
2007-08-30,25.55,1202.458
2007-08-31,23.1,1279.822
2007-09-01,21.950000000000003,1701.486
2007-09-02,20.0,1662.468
2007-09-03,22.8,1038.922
2007-09-04,24.450000000000003,1584.944
2007-09-05,22.200000000000003,1236.572
2007-09-06,23.049999999999997,901.474
2007-09-07,25.55,1336.496
2007-09-08,26.4,1469.752
2007-09-09,25.549999999999997,1679.502
2007-09-10,24.450000000000003,1117.376
2007-09-11,21.950000000000003,983.572
2007-09-12,20.299999999999997,1287.764
2007-09-13,18.85,1146.382
2007-09-14,20.55,1135.47
2007-09-15,16.700000000000003,1095.312
2007-09-16,14.45,1652.224
2007-09-17,15.600000000000001,1461.186
2007-09-18,16.4,1167.52
2007-09-19,18.85,1298.684
2007-09-20,21.7,1255.532
2007-09-21,22.5,1238.78
2007-09-22,21.1,1176.172
2007-09-23,21.15,1417.97
2007-09-24,20.25,1354.53
2007-09-25,23.299999999999997,1764.342
2007-09-26,25.6,1822.264
2007-09-27,24.75,1392.6
2007-09-28,20.25,1680.498
2007-09-29,19.4,2296.522
2007-09-30,17.75,1516.29
2007-10-01,17.8,1720.922
2007-10-02,19.15,2198.864
2007-10-03,21.950000000000003,1280.454
2007-10-04,24.75,1518.458
2007-10-05,23.85,1394.092
2007-10-06,23.6,1756.24
2007-10-07,23.6,2106.114
2007-10-08,25.0,1095.242
2007-10-09,20.85,1687.858
2007-10-10,18.35,1166.972
2007-10-11,17.2,1732.446
2007-10-12,12.25,1914.504
2007-10-13,12.2,1926.728
2007-10-14,14.149999999999999,2061.252
2007-10-15,14.399999999999999,1266.33
2007-10-16,17.200000000000003,1964.442
2007-10-17,18.6,1576.93
2007-10-18,21.1,1518.53
2007-10-19,20.55,2085.648
2007-10-20,18.35,1660.246
2007-10-21,18.3,1941.94
2007-10-22,19.7,1652.896
2007-10-23,22.25,1954.648
2007-10-24,15.25,1865.636
2007-10-25,11.65,1853.918
2007-10-26,12.75,1437.568
2007-10-27,16.35,1785.688
2007-10-28,9.7,512.158
2007-10-29,7.5,545.428
2007-10-30,12.25,811.008
2007-10-31,13.600000000000001,1283.21
2007-11-01,14.45,496.216
2007-11-02,10.0,1443.602
2007-11-03,8.9,492.55
2007-11-04,10.25,1485.686
2007-11-05,10.3,1500.592
2007-11-06,9.7,2082.378
2007-11-07,6.65,1844.758
2007-11-08,4.75,1501.06
2007-11-09,5.3,2171.226
2007-11-10,5.3,2611.6
2007-11-11,3.6,1887.124
2007-11-12,6.65,2156.146
2007-11-13,11.65,2214.398
2007-11-14,10.8,2047.994
2007-11-15,11.649999999999999,1491.988
2007-11-16,5.550000000000001,2309.754
2007-11-17,4.75,2610.094
2007-11-18,5.3,2183.858
2007-11-19,3.9000000000000004,1723.654
2007-11-20,6.65,2095.856
2007-11-21,10.25,1751.836
2007-11-22,11.649999999999999,1932.378
2007-11-23,1.6500000000000001,2522.618
2007-11-24,0.30000000000000004,1899.054
2007-11-25,5.25,1395.598
2007-11-26,10.55,1569.716
2007-11-27,11.95,2801.012
2007-11-28,4.45,1644.94
2007-11-29,7.8,1719.23
2007-11-30,3.65,2331.728
2007-12-01,-0.30000000000000004,3134.942
2007-12-02,-2.25,2946.188
2007-12-03,4.15,1762.06
2007-12-04,-0.55,2067.636
2007-12-05,-0.8,2153.12
2007-12-06,-2.75,2487.934
2007-12-07,-0.2500000000000001,1769.016
2007-12-08,3.9000000000000004,2213.404
2007-12-09,2.75,2274.584
2007-12-10,3.6,1758.754
2007-12-11,4.45,2305.104
2007-12-12,6.1,1588.062
2007-12-13,0.2500000000000001,1847.746
2007-12-14,2.5,1974.808
2007-12-15,0.2500000000000001,2736.876
2007-12-16,0.7999999999999999,2762.218
2007-12-17,-1.3499999999999999,1797.066
2007-12-18,0.5499999999999999,2623.194
2007-12-19,3.5999999999999996,2196.052
2007-12-20,4.2,1949.758
2007-12-21,3.05,1982.576
2007-12-22,3.35,2611.264
2007-12-23,10.55,2409.048
2007-12-24,6.4,2257.848
2007-12-25,3.9,2694.968
2007-12-26,1.95,2580.28
2007-12-27,4.15,2532.198
2007-12-28,6.9,3113.052
2007-12-29,8.1,3298.956
2007-12-30,3.9,2558.916
2007-12-31,4.2,2216.542
2008-01-01,5.550000000000001,2759.738
2008-01-02,-2.5000000000000004,1644.106
2008-01-03,-8.9,1510.108
2008-01-04,-3.35,2291.852
2008-01-05,3.05,2183.248
2008-01-06,6.1,1825.184
2008-01-07,11.95,1695.814
2008-01-08,14.75,2043.55
2008-01-09,13.05,1788.44
2008-01-10,7.5,1894.076
2008-01-11,8.850000000000001,1705.818
2008-01-12,7.5,2871.408
2008-01-13,4.7,2881.656
2008-01-14,2.5,2024.932
2008-01-15,1.65,2686.912
2008-01-16,1.1,2135.852
2008-01-17,1.4,1572.282
2008-01-18,5.3,2186.988
2008-01-19,1.4,1980.306
2008-01-20,-3.6000000000000005,1740.368
2008-01-21,-6.35,1858.998
2008-01-22,-0.55,2325.018
2008-01-23,1.6500000000000001,1882.308
2008-01-24,-1.6500000000000001,1645.022
2008-01-25,-2.75,2239.856
2008-01-26,-1.4,2834.988
2008-01-27,1.4,2381.766
2008-01-28,1.4,2308.196
2008-01-29,2.5,2676.024
2008-01-30,4.7,1640.646
2008-01-31,0.5499999999999998,1953.922
2008-02-01,5.85,1534.652
2008-02-02,3.9,2936.034
2008-02-03,5.0,2084.568
2008-02-04,3.3499999999999996,1628.138
2008-02-05,7.199999999999999,2472.456
2008-02-06,12.5,1669.54
2008-02-07,6.35,1518.31
2008-02-08,4.45,1950.564
2008-02-09,4.75,2102.276
2008-02-10,-1.35,2184.714
2008-02-11,-8.3,1692.016
2008-02-12,-4.45,1987.798
2008-02-13,5.8,1900.498
2008-02-14,1.1,1604.622
2008-02-15,3.8500000000000005,2005.208
2008-02-16,-1.95,2346.948
2008-02-17,5.3,1933.368
2008-02-18,11.100000000000001,1514.404
2008-02-19,1.4,2126.916
2008-02-20,-2.2,2253.79
2008-02-21,-3.0500000000000003,1633.85
2008-02-22,-1.4,1732.564
2008-02-23,-0.55,1833.97
2008-02-24,-0.2500000000000002,1263.008
2008-02-25,4.45,504.488
2008-02-26,5.800000000000001,507.12
2008-02-27,0.5500000000000003,566.72
2008-02-28,-5.0,509.184
2008-02-29,-3.3000000000000003,1333.348
2008-03-01,4.2,1141.876
2008-03-02,1.9499999999999997,1162.226
2008-03-03,7.5,1040.55
2008-03-04,12.2,1668.99
2008-03-05,8.35,2037.208
2008-03-06,5.25,2503.208
2008-03-07,4.7,1862.956
2008-03-08,8.05,2248.66
2008-03-09,2.25,1560.458
2008-03-10,2.2,1618.686
2008-03-11,5.55,2200.042
2008-03-12,5.0,1774.232
2008-03-13,3.3000000000000003,1675.514
2008-03-14,8.850000000000001,2210.22
2008-03-15,9.15,1576.3
2008-03-16,5.0,1801.96
2008-03-17,4.45,1706.918
2008-03-18,4.2,1917.566
2008-03-19,8.35,1308.448
2008-03-20,8.3,1253.274
2008-03-21,3.9,2066.442
2008-03-22,5.55,2053.516
2008-03-23,3.9000000000000004,2325.99
2008-03-24,5.3,1974.668
2008-03-25,4.15,2015.856
2008-03-26,11.100000000000001,1633.472
2008-03-27,8.05,1370.822
2008-03-28,6.1,1885.424
2008-03-29,4.45,2471.15
2008-03-30,3.6,2146.392
2008-03-31,8.35,1377.57
2008-04-01,15.799999999999999,2129.052
2008-04-02,7.5,1691.672
2008-04-03,5.3,1128.756
2008-04-04,8.649999999999999,1631.918
2008-04-05,12.5,1970.762
2008-04-06,8.1,1696.318
2008-04-07,7.8,1538.838
2008-04-08,9.7,2657.516
2008-04-09,9.4,1218.852
2008-04-10,16.4,1477.746
2008-04-11,12.75,1877.664
2008-04-12,16.65,2800.014
2008-04-13,9.7,2232.986
2008-04-14,8.85,1589.582
2008-04-15,10.850000000000001,1670.406
2008-04-16,13.6,1489.064
2008-04-17,15.3,1395.862
2008-04-18,19.75,1862.39
2008-04-19,17.2,2253.71
2008-04-20,13.600000000000001,1791.418
2008-04-21,12.75,1164.156
2008-04-22,15.55,1627.676
2008-04-23,18.65,1357.328
2008-04-24,21.65,1043.772
2008-04-25,17.5,1267.734
2008-04-26,14.2,903.166
2008-04-27,10.8,1008.24
2008-04-28,11.350000000000001,659.052
2008-04-29,10.85,1972.616
